Gene stable ID	Gene type
YDR263C	protein_coding
YBR187W	protein_coding
YOR244W	protein_coding
YBR201C-A	protein_coding
YBR074W	protein_coding
YDL195W	protein_coding
YDR007W	protein_coding
YOL014W	protein_coding
YLR059C	protein_coding
YML130C	protein_coding
YBR223C	protein_coding
tP(UGG)Q	tRNA
YCR018C-A	protein_coding
YER019W	protein_coding
YIR016W	protein_coding
YIL069C	protein_coding
YLR440C	protein_coding
YIL102C	protein_coding
YER042W	protein_coding
YBL069W	protein_coding
YML116W	protein_coding
YHR058C	protein_coding
YMR265C	protein_coding
YDL169C	protein_coding
YPL109C	protein_coding
YPL204W	protein_coding
YLR365W	protein_coding
YOR047C	protein_coding
YLR222C	protein_coding
YPR183W	protein_coding
YOR396C-A	protein_coding
YER077C	protein_coding
YDR348C	protein_coding
YKL030W	protein_coding
YGR295C	protein_coding
YER039C	protein_coding
YPL230W	protein_coding
YFL007W	protein_coding
YLR371W	protein_coding
YMR061W	protein_coding
YPL159C	protein_coding
YMR288W	protein_coding
YMR166C	protein_coding
YHR142W	protein_coding
YJR111C	protein_coding
YPL152W	protein_coding
YJR113C	protein_coding
YDR230W	protein_coding
YDR131C	protein_coding
YEL020W-A	protein_coding
YLR116W	protein_coding
YIR040C	protein_coding
YLR013W	protein_coding
YBR125C	protein_coding
YPL216W	protein_coding
YOR290C	protein_coding
YEL012W	protein_coding
YLR179C	protein_coding
YDR297W	protein_coding
YBR191W	protein_coding
YKL060C	protein_coding
tV(AAC)G2	tRNA
YDL215C	protein_coding
YJL205C	protein_coding
YGL133W	protein_coding
YOR355W	protein_coding
YIL061C	protein_coding
YGR078C	protein_coding
YJR020W	protein_coding
YAR068W	protein_coding
YLR417W	protein_coding
YDL129W	protein_coding
YPR064W	protein_coding
YPL082C	protein_coding
YMR101C	protein_coding
YBR299W	protein_coding
YDL088C	protein_coding
YKR034W	protein_coding
tF(GAA)G	tRNA
YOR199W	protein_coding
YOR005C	protein_coding
YCR081W	protein_coding
YHR143W-A	protein_coding
YMR296C	protein_coding
YMR212C	protein_coding
YDR039C	protein_coding
YFL027C	protein_coding
YJL075C	protein_coding
tF(GAA)B	tRNA
YBR219C	protein_coding
YBL032W	protein_coding
YFR039C	protein_coding
YER184C	protein_coding
YBR114W	protein_coding
YBR267W	protein_coding
RDN5-1	rRNA
tH(GUG)G2	tRNA
YIL009C-A	protein_coding
YMR153C-A	protein_coding
YPL035C	protein_coding
YDR075W	protein_coding
YER060W-A	protein_coding
tI(AAU)I1	tRNA
YNL135C	protein_coding
YPR107C	protein_coding
tX(XXX)L	tRNA
YOL001W	protein_coding
YNL032W	protein_coding
YHR060W	protein_coding
YOR187W	protein_coding
YMR127C	protein_coding
YDL223C	protein_coding
YDR156W	protein_coding
YDR167W	protein_coding
YLL065W	protein_coding
YGR281W	protein_coding
YIL060W	protein_coding
YJL015C	protein_coding
YPL146C	protein_coding
YGL148W	protein_coding
YPR133W-A	protein_coding
YAL044C	protein_coding
YOR151C	protein_coding
YNL046W	protein_coding
YJL003W	protein_coding
YEL058W	protein_coding
tV(AAC)O	tRNA
YNL325C	protein_coding
YLR369W	protein_coding
YGL004C	protein_coding
YJL196C	protein_coding
YPR015C	protein_coding
YMR013C	protein_coding
YHL013C	protein_coding
YER165W	protein_coding
YIL089W	protein_coding
YNL062C	protein_coding
YML059C	protein_coding
YML086C	protein_coding
YPL036W	protein_coding
YOR161C-C	protein_coding
YBL061C	protein_coding
YIL166C	protein_coding
YHR216W	protein_coding
YER182W	protein_coding
YGR190C	protein_coding
YKR005C	protein_coding
YJR162C	protein_coding
YMR186W	protein_coding
YJL152W	protein_coding
YMR169C	protein_coding
YDR274C	protein_coding
tI(AAU)E1	tRNA
YBL083C	protein_coding
YCL056C	protein_coding
YGL223C	protein_coding
YJL098W	protein_coding
YOR396W	protein_coding
YJL120W	protein_coding
YLR332W	protein_coding
snR71	snoRNA
YNL285W	protein_coding
YIL029W-A	protein_coding
YOL066C	protein_coding
YNL247W	protein_coding
YPR102C	protein_coding
YBR287W	protein_coding
YGL007C-A	protein_coding
YGL175C	protein_coding
YHR071W	protein_coding
YIL095W	protein_coding
YHR107C	protein_coding
YOL166W-A	protein_coding
YLR050C	protein_coding
YCR010C	protein_coding
YNL161W	protein_coding
YOR055W	protein_coding
YGL063C-A	protein_coding
YMR306W	protein_coding
YAR066W	protein_coding
YGL128C	protein_coding
YPR048W	protein_coding
YLR345W	protein_coding
YPR140W	protein_coding
YKL208W	protein_coding
Q0045	protein_coding
YKL058W	protein_coding
YGL030W	protein_coding
YHR209W	protein_coding
YJL082W	protein_coding
YKR017C	protein_coding
YER126C	protein_coding
YDR110W	protein_coding
YKR040C	protein_coding
YGL033W	protein_coding
tG(CCC)D	tRNA
YKL046C	protein_coding
YLR236C	protein_coding
YGR165W	protein_coding
YML103C	protein_coding
YFL010W-A	protein_coding
YNL338W	protein_coding
YGR193C	protein_coding
YJL197C-A	protein_coding
YLR439W	protein_coding
YKL001C	protein_coding
YKL078W	protein_coding
YJL062W	protein_coding
YPL245W	protein_coding
YBR058C-A	protein_coding
YNL106C	protein_coding
YNL204C	protein_coding
YDR211W	protein_coding
YDL109C	protein_coding
YIL111W	protein_coding
YOR117W	protein_coding
YOR074C	protein_coding
YKL223W	protein_coding
YPL170W	protein_coding
YHR072W	protein_coding
YOR077W	protein_coding
YAL043C	protein_coding
YPL283W-A	protein_coding
YEL075W-A	protein_coding
YPL115C	protein_coding
YBR268W	protein_coding
YJR022W	protein_coding
YER025W	protein_coding
YPL226W	protein_coding
YLR348C	protein_coding
YNL320W	protein_coding
YEL070W	protein_coding
YMR034C	protein_coding
YJL178C	protein_coding
YMR310C	protein_coding
YKL132C	protein_coding
YBR286W	protein_coding
YKR032W	protein_coding
YOL163W	protein_coding
YDR524C-A	protein_coding
YGR044C	protein_coding
YJL133C-A	protein_coding
YCR023C	protein_coding
YLR057W	protein_coding
YIL024C	protein_coding
YHR131W-A	protein_coding
YJL141C	protein_coding
YPR192W	protein_coding
YOR304W	protein_coding
YLR009W	protein_coding
YDL050C	protein_coding
YEL048C	protein_coding
snR64	snoRNA
YBR196C-A	protein_coding
YLL024C	protein_coding
YOR255W	protein_coding
YNL141W	protein_coding
YDR535C	protein_coding
YML034W	protein_coding
YDR202C	protein_coding
YBL091C-A	protein_coding
YER099C	protein_coding
YGL002W	protein_coding
YMR131C	protein_coding
YGL123C-A	protein_coding
YLL048C	protein_coding
YPL150W	protein_coding
YBR113W	protein_coding
YCL067C	protein_coding
YMR263W	protein_coding
YOR289W	protein_coding
YCL025C	protein_coding
YDL132W	protein_coding
YKL186C	protein_coding
YCL043C	protein_coding
YOL100W	protein_coding
tL(CAA)G3	tRNA
YML031C-A	protein_coding
YDR034C-A	protein_coding
YOR337W	protein_coding
YDL013W	protein_coding
YDR534C	protein_coding
YLR157C	protein_coding
YGL039W	protein_coding
YCR012W	protein_coding
YOL086W-A	protein_coding
YHR049W	protein_coding
YMR113W	protein_coding
YPL055C	protein_coding
YBR213W	protein_coding
YLR226W	protein_coding
YCR075C	protein_coding
YDR392W	protein_coding
YAL051W	protein_coding
YPL079W	protein_coding
YDR178W	protein_coding
YDR121W	protein_coding
YJL013C	protein_coding
YDL063C	protein_coding
Q0060	protein_coding
YJL109C	protein_coding
YJR155W	protein_coding
YKL177W	protein_coding
YDR435C	protein_coding
YIL012W	protein_coding
YDR461W	protein_coding
YHR111W	protein_coding
YNL033W	protein_coding
YDR455C	protein_coding
YKL072W	protein_coding
YKL003C	protein_coding
YMR314W	protein_coding
YHR139C-A	protein_coding
YLR070C	protein_coding
YDL069C	protein_coding
YBR183W	protein_coding
YER026C	protein_coding
YOL083C-A	protein_coding
YDR073W	protein_coding
YDL017W	protein_coding
YCR093W	protein_coding
YML051W	protein_coding
YLL002W	protein_coding
YPL068C	protein_coding
YIL090W	protein_coding
YNL018C	protein_coding
YBR050C	protein_coding
YMR081C	protein_coding
YBL097W	protein_coding
YJL049W	protein_coding
YLR334C	protein_coding
YMR231W	protein_coding
YGR107W	protein_coding
YBR172C	protein_coding
YIL021C-A	protein_coding
YDR260C	protein_coding
YKL165C	protein_coding
YPR175W	protein_coding
YOR097C	protein_coding
YDR210W	protein_coding
YLR062C	protein_coding
YNL024C	protein_coding
YLR339C	protein_coding
YLR305C	protein_coding
tT(UGU)P	tRNA
YNR024W	protein_coding
YDL130W-A	protein_coding
YPR022C	protein_coding
YPL161C	protein_coding
YLR107W	protein_coding
tR(UCU)Q1	tRNA
YJR135C	protein_coding
YLR139C	protein_coding
YKL085W	protein_coding
snR54	snoRNA
YGR017W	protein_coding
YDR322C-A	protein_coding
YFL021C-A	protein_coding
YOL123W	protein_coding
YCR026C	protein_coding
tD(GUC)B	tRNA
YHR205W	protein_coding
YLR038C	protein_coding
tR(UCU)G3	tRNA
YCR044C	protein_coding
YNL160W	protein_coding
YLR182W	protein_coding
YJL191W	protein_coding
YDR139C	protein_coding
YGL019W	protein_coding
YHR183W	protein_coding
YLR132C	protein_coding
YLR064W	protein_coding
YER107W-A	protein_coding
YER174C	protein_coding
YDL043C	protein_coding
YFR031C	protein_coding
YGL231C	protein_coding
tH(GUG)E1	tRNA
YOR195W	protein_coding
tI(AAU)I2	tRNA
snR67	snoRNA
YML107C	protein_coding
YDL093W	protein_coding
tL(CAA)G2	tRNA
YNR035C	protein_coding
YGL027C	protein_coding
YNL303W	protein_coding
YBR208C	protein_coding
tR(UCU)M1	tRNA
